yearweek,tavg,tmin,tmax,prcp,snow,wspd,rain_days_count,region
201447,6.328571428571428,-4.3,18.3,47.0,10.0,20.114285714285717,4,Boston
201448,4.4,-4.9,17.8,16.8,6.0,18.914285714285715,4,Boston
201449,2.1142857142857143,-7.7,9.4,113.1,0.0,21.24285714285714,6,Boston
201450,3.457142857142857,-1.6,9.4,11.200000000000001,0.0,15.471428571428572,2,Boston
201451,4.6000000000000005,-2.7,15.0,25.5,10.0,16.142857142857142,4,Boston
201452,6.3,-1.0,11.1,0.3,0.0,16.8,1,Boston
201500,-2.175,-6.6,5.0,0.0,0.0,18.6,0,Boston
201501,-4.014285714285714,-18.2,11.1,31.0,3.0,21.528571428571432,4,Boston
201502,-3.6714285714285713,-9.9,3.3,8.1,6.0,17.27142857142857,2,Boston
201503,-0.8428571428571431,-12.7,10.6,3.8,0.0,16.871428571428574,1,Boston
201504,-4.057142857142857,-12.1,3.3,46.4,213.0,21.12857142857143,5,Boston
201505,-6.971428571428571,-14.9,3.3,23.700000000000003,367.0,23.114285714285717,4,Boston
201506,-6.371428571428572,-13.8,-1.0,36.0,576.0,19.014285714285712,6,Boston
201507,-8.757142857142856,-19.3,-1.0,18.0,737.0,22.071428571428573,5,Boston
201508,-5.871428571428572,-16.6,3.9,9.4,688.0,15.742857142857144,4,Boston
201509,-2.8857142857142857,-12.7,6.1,11.7,645.0,16.757142857142856,4,Boston
201510,1.9000000000000001,-8.2,13.9,1.8,519.0,17.285714285714285,2,Boston
201511,-0.1285714285714285,-7.1,10.6,32.1,328.0,19.74285714285714,4,Boston
201512,0.8714285714285712,-7.7,13.3,28.900000000000002,254.0,16.12857142857143,4,Boston
201513,4.628571428571428,-3.2,16.1,3.8,158.0,18.87142857142857,2,Boston
201514,4.285714285714286,0.0,12.8,21.9,0.0,20.571428571428573,5,Boston
201515,12.514285714285714,3.9,20.6,1.8,0.0,19.32857142857143,2,Boston
201516,9.571428571428571,2.8,19.4,29.2,0.0,20.62857142857143,2,Boston
201517,9.200000000000001,2.2,17.8,4.3,0.0,15.671428571428569,2,Boston
201518,14.900000000000002,3.9,28.9,0.5,0.0,16.04285714285714,1,Boston
201519,16.2,7.8,31.7,0.5,0.0,16.085714285714285,1,Boston
201520,14.857142857142858,7.2,24.4,6.9,0.0,16.614285714285714,1,Boston
201521,20.242857142857144,6.7,30.6,0.0,0.0,21.442857142857143,0,Boston
201522,13.028571428571428,7.8,31.1,51.6,0.0,17.02857142857143,3,Boston
201523,19.485714285714288,11.1,31.1,2.3,0.0,18.614285714285717,1,Boston
201524,18.67142857142857,12.2,30.0,10.2,0.0,14.214285714285714,1,Boston
201525,20.785714285714285,14.4,31.1,45.0,0.0,13.642857142857142,3,Boston
201526,18.82857142857143,11.1,27.8,55.099999999999994,0.0,15.6,3,Boston
201527,21.942857142857143,15.6,31.1,32.699999999999996,0.0,13.114285714285714,3,Boston
201528,22.47142857142857,15.0,31.7,0.8,0.0,13.742857142857144,1,Boston
201529,24.357142857142858,17.8,33.3,3.9,0.0,14.642857142857142,2,Boston
201530,24.042857142857144,16.7,33.3,2.0,0.0,15.171428571428573,2,Boston
201531,24.32857142857143,17.8,32.2,12.4,0.0,16.45714285714286,1,Boston
201532,21.485714285714288,16.1,30.0,21.1,0.0,14.057142857142859,1,Boston
201533,24.5,19.4,32.8,21.6,0.0,12.757142857142856,3,Boston
201534,22.042857142857144,17.8,29.4,0.5,0.0,12.657142857142857,1,Boston
201535,24.085714285714285,16.7,32.8,0.3,0.0,14.357142857142858,1,Boston
201536,22.900000000000002,14.4,35.6,26.2,0.0,15.985714285714286,3,Boston
201537,20.985714285714288,13.9,31.7,10.0,0.0,14.714285714285714,2,Boston
201538,18.057142857142857,11.7,26.1,0.0,0.0,14.757142857142856,0,Boston
201539,16.5,8.9,28.9,65.5,0.0,19.099999999999998,3,Boston
201540,13.414285714285715,8.9,22.2,8.9,0.0,19.75714285714286,2,Boston
201541,14.628571428571428,8.3,24.4,3.0,0.0,16.54285714285714,1,Boston
201542,10.385714285714286,-0.5,22.8,1.8,0.0,17.542857142857144,1,Boston
201543,11.057142857142859,3.3,23.9,28.4,0.0,18.128571428571426,3,Boston
201544,13.728571428571428,3.3,24.4,0.0,0.0,15.071428571428571,0,Boston
201545,11.057142857142859,5.0,20.6,16.8,0.0,18.97142857142857,4,Boston
201546,7.885714285714286,-0.5,16.1,21.8,0.0,16.357142857142858,1,Boston
201547,6.014285714285714,-1.6,17.8,8.6,0.0,15.214285714285714,2,Boston
201548,5.7,-2.1,15.6,17.0,0.0,14.4,3,Boston
201549,7.128571428571428,2.2,15.0,0.0,0.0,12.185714285714285,0,Boston
201550,9.457142857142857,3.3,16.1,30.5,0.0,13.671428571428573,4,Boston
201551,8.557142857142857,-0.5,20.6,31.200000000000003,0.0,16.514285714285712,3,Boston
201552,5.05,-4.3,12.8,32.5,3.0,17.925,2,Boston
